date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:50	317738/317738	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Mar%202025%2011:30:40%20GMT	https://ektechnologies-soutions.b12sites.com/index	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/index.html	(from )
14:30:51	117/117	---M--	200	added ('OK')	text/plain	date:Tue,%2018%20Mar%202025%2011:30:47%20GMT	https://ektechnologies-soutions.b12sites.com/robots.txt		(from )
14:30:52	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:48%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-ext-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-ext-normal-400.3.delayed	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:52	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/edu33/code.jquery.com/jquery-3.3.1.min.js	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:53	317738/317738	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Mar%202025%2011:30:49%20GMT	https://ektechnologies-soutions.b12sites.com/	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/index-2.html	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:50%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:55	11292/11292	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:30:50%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-ext-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-ext-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:57	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:52%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-ext-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:57	9336/9336	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:30:52%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-cyrillic-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:54%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:30:58	8640/8640	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:30:54%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-ext-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:00	13400/13400	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:30:56%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/ptserif-latin-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:56%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:02	5640/5640	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:30:57%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:02	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:58%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:30:59%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:03	7900/7900	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:30:59%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:05	5552/5552	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:31:01%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:05	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:01%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:07	7992/7992	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:31:02%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:07	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:02%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:08	5448/5448	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:31:04%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:08	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:04%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
